smiles	logP	logS	logP-err	logS-err	logP-warn	logS-warn
CC(C)NCC(COc1cccc2ccccc12)OS(=O)(=O)O	0.55	-3.94	0.55	2.39		logS	CC(C)NCC(COc1cccc2ccccc12)OS(=O)(=O)O
COc1ccc2c(c1)n(nc(N)[nH]2O[NH4])(Cl)=O	-0.72	-2.53	1.20	2.39	logP	logS	COc1ccc2c(c1)[n+](=O)nc(N)n2[O-]
C1COCO1	-0.61	0.81	0.36	0.67			C1COCO1
CCCCCn1nnc2ccccc12	3.10	-2.54	0.34	0.94			CCCCCn1nnc2ccccc21
CC(Oc1ccccc1)C(=O)NC2C(=O)N3C2SC(C)(C)C3C(=O)O	2.22	-3.01	0.34	1.41			CC(Oc1ccccc1)C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O
CC(C)C(Br)C(=O)NC(N)=O	0.62	-2.12	0.61	0.81			CC(C)C(Br)C(=O)NC(N)=O
N#CC(C#N)=NNc1ccc(Cl)cc1	3.28	-3.58	0.30	2.39		logS	N#CC(C#N)=NNc1ccc(Cl)cc1
CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c3ccccc3)C1=O	3.43	-4.69	0.34	0.88			CCCCC(=O)OCN1C(=O)NC(c2ccccc2)(c2ccccc2)C1=O
COc1ccc(C=NNP(=O)(N2CC2)N3CC3)cc1	0.34	-1.50	0.32	2.39		logS	COc1ccc(C=NNP(=O)(N2CC2)N2CC2)cc1
c1ccc2c(c1)CCO2	2.16	-1.72	0.55	0.99			c1ccc2c(c1)CCO2
CC(=O)NNC(=O)Nc1ccc(N(=O)=O)cc1	0.64	-3.57	0.33	1.50			CC(=O)NNC(=O)Nc1ccc([N+](=O)[O-])cc1
O=C(O)CCl	0.18	0.47	0.33	0.82			O=C(O)CCl
C=C1C(=O)OC3C1C(OC(=O)C(C)=CC)CC(O)(CCl)C2C(OC(C)=O)C=C(C)C23O	2.01	-3.19	0.54	1.09			C=C1C(=O)OC2C1C(OC(=O)C(C)=CC)CC(O)(CCl)C1C(OC(C)=O)C=C(C)C21O
CCOP(=S)(OCC)SCSCC	3.71	-3.85	0.32	0.68			CCOP(=S)(OCC)SCSCC
CCCN1C(=O)C(=O)c2ccccc2C1=O	1.55	-2.37	0.33	1.48			CCCN1C(=O)C(=O)c2ccccc2C1=O
COc1cccc(COC(C)=O)c1	2.22	-2.68	0.33	0.69			COc1cccc(COC(C)=O)c1
CCN(CC)CCNC(=O)c1ccccc1	1.95	-2.03	0.35	1.18			CCN(CC)CCNC(=O)c1ccccc1
CS(=O)(=O)c1ccccc1	0.63	-1.60	0.51	0.89			CS(=O)(=O)c1ccccc1
COc1c2ccoc2cc3OC(=O)CCc13	2.05	-2.92	0.49	0.68			COc1c2ccoc2cc2oc(=O)ccc12
CNC(=O)Oc1ccc(Cl)c(Cl)c1	2.64	-3.16	0.30	0.92			CNC(=O)Oc1ccc(Cl)c(Cl)c1
c1ccc(OCCOc2ccccc2)cc1	3.42	-4.17	0.49	0.76			c1ccc(OCCOc2ccccc2)cc1
O=C(O)C1CC(=O)c2cc3c(cc2O1)CCCC3	2.38	-2.72	0.44	1.40			O=C(O)c1cc(=O)c2cc3c(cc2o1)CCCC3
N=C1CCN(C2OC(CCl)C(O)C2O)C(=O)N1	-1.33	-1.74	0.64	0.95			N=c1ccn(C2OC(CCl)C(O)C2O)c(=O)[nH]1
COP(=S)(OC)Oc1cc(C)c(N(=O)=O)c(C)c1	3.54	-4.36	0.35	0.66			COP(=S)(OC)Oc1cc(C)c([N+](=O)[O-])c(C)c1
CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C1CCCN1)C(=O)O	-0.37	-2.59	0.60	1.54			CC(C)CC(NC(=O)C(CC(C)C)NC(=O)C1CCCN1)C(=O)O
CC(=O)NNC(=O)Nc1cccc(C)c1	0.62	-3.06	0.30	1.03			CC(=O)NNC(=O)Nc1cccc(C)c1
Cc1ccc(N2CCN(CC3CN=C(N)O3)CC2)cc1	1.27	-2.23	0.36	1.35			Cc1ccc(N2CCN(CC3CN=C(N)O3)CC2)cc1
N=C(N)NN=Cc1ccc(Cl)cc1	1.19	-3.01	0.37	2.39		logS	N=C(N)NN=Cc1ccc(Cl)cc1
NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)O	-2.91	-2.66	0.33	0.86			NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)O
O=C(O)CCn1ccc2ccccc12	1.86	-2.40	0.56	0.97			O=C(O)CCn1ccc2ccccc21
COC1NC(=N)NC(C(Cl)(Cl)Cl)N1	0.18	-2.27	0.68	1.40			COc1nc(=N)nc(C(Cl)(Cl)Cl)[nH]1
CC(=O)N=C1CNC(Cl)CN1	-0.60	-1.65	0.82	1.09			CC(=O)N=c1cnc(Cl)c[nH]1
O=C1c3ccccc3C(=O)c4c1ccc2ccccc24	3.91	-5.19	0.50	1.16			O=C1c2ccccc2C(=O)c2c1ccc1ccccc21
CCC(C(=O)OCc1ccc(Cl)cc1)C(COC(=O)c2ccccc2)Cc3cncn3C	4.98	-5.73	0.31	0.70			CCC(C(=O)OCc1ccc(Cl)cc1)C(COC(=O)c1ccccc1)Cc1cncn1C
COc1cc(C2c3cc6c(cc3C(OC4OC7COC(C)OC7C(O)C4O)C5COC(=O)C25)OCO6)cc(OC)c1O	0.73	-2.78	0.41	1.19			COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C	4.06	-4.37	0.38	0.75			CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
COC1CC(OC2CCC3(C)C(CCC5C3CCC4(C)C(C6=COC(=O)C6)C(O)CC45O)C2)OC(C)C1O	1.88	-4.71	0.37	1.39			COC1CC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=COC(=O)C5)C(O)CC43O)C2)OC(C)C1O
CNc1c(Cl)cccc1Cl	2.76	-2.58	0.66	1.10			CNc1c(Cl)cccc1Cl
CCS(=O)c1nc(C)cc(C)c1C#N	2.03	-1.62	0.49	1.51			CCS(=O)c1nc(C)cc(C)c1C#N
CCCC(=O)OCC1OC(N2CC(I)C(=O)NC2=O)C1O	0.84	-1.85	0.36	1.40			CCCC(=O)OCC1OC(n2cc(I)c(=O)[nH]c2=O)C1O
c1ccc(COc2cccc3cccnc23)cc1	3.75	-4.39	0.47	1.30			c1ccc(COc2cccc3cccnc23)cc1
Nc1cc(N=O)ccc1O	0.70	-1.50	0.48	1.09			Nc1cc(N=O)ccc1O
CCCCCCCCOc1ccc(NC(=O)OCCN2CCCCC2)cc1	6.19	-5.12	0.30	1.49			CCCCCCCCOc1ccc(NC(=O)OCCN2CCCCC2)cc1
Cc1ccc(N2CCC(=O)C(O)C2C)cc1	1.54	-1.03	0.61	1.18			Cc1ccc(-n2ccc(=O)c(O)c2C)cc1
CC(OC(=O)c1cccc(C(F)(F)F)c1)C(N)=O	1.44	-2.68	0.56	1.18			CC(OC(=O)c1cccc(C(F)(F)F)c1)C(N)=O
CC1OC(OC2CCC3(C)C(CCC5C3CCC4(C)C(C6=COC(=O)C6)CCC45O)C2)CC(O)C1O	2.57	-4.85	0.35	1.21			CC1OC(OC2CCC3(C)C(CCC4C3CCC3(C)C(C5=COC(=O)C5)CCC43O)C2)CC(O)C1O
CC1COC(N=C2NCC(N(=O)=O)S2)=N1	0.70	-1.97	0.79	1.43			CC1COC(N=c2[nH]cc([N+](=O)[O-])s2)=N1
CN(C)Cc1cccs1	1.49	-1.98	0.37	0.75			CN(C)Cc1cccs1
O=CNc1ccc(Cl)cc1	1.88	-2.05	0.30	0.81			O=CNc1ccc(Cl)cc1
N=C1NONC1=N	-1.59	-1.75	0.74	2.39		logS	N=c1[nH]o[nH]c1=N
CC1CN=C(N=C2NCC(N(=O)=O)S2)N1	0.25	-1.89	0.82	1.42			CC1CN=C(N=c2[nH]cc([N+](=O)[O-])s2)N1
O=C1C2C(NC3N1CCC3)CCCC2	0.70	-1.15	0.67	1.63			O=c1c2c(nc3n1CCC3)CCCC2
O=C(O)CSC1=NS(=O)(=O)c2cc(Cl)cc(Cl)c2N1	1.51	-3.58	0.30	2.39		logS	O=C(O)CSC1=NS(=O)(=O)c2cc(Cl)cc(Cl)c2N1
CC(C)C(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2	3.18	-3.64	0.68	1.86			CC(C)C(=O)N(C)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2
COc1ccc(NC(N)=O)cc1Cl	1.78	-2.39	0.46	0.85			COc1ccc(NC(N)=O)cc1Cl
N#Cc1ccc(Cl)cc1	2.32	-2.08	0.40	0.80			N#Cc1ccc(Cl)cc1
CC(N)CCc1ccccc1	2.37	-2.35	0.46	0.93			CC(N)CCc1ccccc1
CCOC(=O)c1cncc(C)n1	0.49	-0.68	0.30	0.93			CCOC(=O)c1cncc(C)n1
CCC(C)C(N)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)C(C)C)C(C)C)C(C)CC	-0.35	-3.70	0.47	1.21			CCC(C)C(N)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)C(C)C)C(C)C)C(C)CC
Cc1ccc(N(=O)=O)cc1	2.34	-2.49	0.33	0.62			Cc1ccc([N+](=O)[O-])cc1
CC(C)Oc1ccccc1OC(=O)N(C)C	2.52	-2.04	0.39	1.27			CC(C)Oc1ccccc1OC(=O)N(C)C
Cc1cc(C)n2nc(SC(C)C(=O)NCC(=O)Nc3ccc(F)c(F)c3F)nc2n1	2.96	-4.61	0.79	2.39		logS	Cc1cc(C)n2nc(SC(C)C(=O)NCC(=O)Nc3ccc(F)c(F)c3F)nc2n1
N#CC(C(=O)NC(CO)C(O)c1ccc(N(=O)=O)cc1)c2ccccc2	1.19	-3.89	0.50	0.98			N#CC(C(=O)NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)c1ccccc1
Cc1n[nH]c(C(=O)N(C)C2CCCCC2)c1N(=O)=O	1.76	-2.40	0.30	1.22			Cc1n[nH]c(C(=O)N(C)C2CCCCC2)c1[N+](=O)[O-]
CN(c1ccccc1)S(C)(=O)=O	0.95	-1.71	0.49	1.01			CN(c1ccccc1)S(C)(=O)=O
CC1CCCCC1NC(=O)COC(=O)C2=COCCO2	1.77	-2.63	0.60	1.42			CC1CCCCC1NC(=O)COC(=O)C1=COCCO1
C#Cc1ccccc1	2.50	-2.98	0.51	0.72			C#Cc1ccccc1
NNC(=O)Nc1ccc(I)cc1	1.84	-2.89	0.39	1.01			NNC(=O)Nc1ccc(I)cc1
Cc1c(O)c(N3CC3)c(CC=O)c(O)c1N2CC2	1.51	-1.30	0.74	1.24			Cc1c(O)c(N2CC2)c(CC=O)c(O)c1N1CC1
COc1cc(CC(=NC(=O)c2ccccc2)C(=O)Nc3cccc(CO)c3)ccc1OC(C)=O	3.25	-5.36	0.66	1.04			COc1cc(CC(=NC(=O)c2ccccc2)C(=O)Nc2cccc(CO)c2)ccc1OC(C)=O
CC(C)(C)NCC(O)COc1ccccc1C2CCCC2	3.84	-4.14	0.57	1.20			CC(C)(C)NCC(O)COc1ccccc1C1CCCC1
CNC(=O)Oc1ccccc1C	1.62	-1.87	0.31	0.61			CNC(=O)Oc1ccccc1C
CC(=O)NN=Cc1c(O)ccc2ccccc12	2.91	-3.25	0.43	2.39		logS	CC(=O)NN=Cc1c(O)ccc2ccccc12
CC=CC1=NS(=O)(=O)c2ccc(Cl)cc2N1	2.51	-3.45	0.74	2.39		logS	CC=CC1=NS(=O)(=O)c2ccc(Cl)cc2N1
CCOC(=O)CSc1nc(C(C)(C)C)nn1C(=O)N(C)C	2.21	-2.53	0.75	0.95			CCOC(=O)CSc1nc(C(C)(C)C)nn1C(=O)N(C)C
CCCNC(=O)COC(=O)c1ccccc1	1.75	-2.80	0.36	1.20			CCCNC(=O)COC(=O)c1ccccc1
c1cncc(CCN2CCCCC2)c1	1.92	-1.16	0.33	0.87			c1cncc(CCN2CCCCC2)c1
COC(=O)CCc1ccccc1	2.35	-2.87	0.36	0.66			COC(=O)CCc1ccccc1
CNC(=O)Nc1ccc(Cl)c(Cl)c1	2.93	-3.13	0.44	1.45			CNC(=O)Nc1ccc(Cl)c(Cl)c1
CNC(=O)Oc1ccc(C(C)C)cc1	2.43	-2.85	0.35	1.13			CNC(=O)Oc1ccc(C(C)C)cc1
NC(=O)c1ccc(I)cc1	1.25	-2.90	0.31	0.98			NC(=O)c1ccc(I)cc1
N#CSCc1ccccc1	2.18	-2.34	0.61	2.39		logS	N#CSCc1ccccc1
CN(C)N=Nc1ccccc1C(N)=O	1.26	-2.45	0.31	1.29			CN(C)N=Nc1ccccc1C(N)=O
NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NCC(=O)O	-0.77	-2.94	0.51	1.20			NC(Cc1c[nH]c2ccccc12)C(=O)NCC(=O)NCC(=O)O
C=CC(C)(CCC=C(C)C)OC(C)=O	4.03	-3.51	0.49	0.99			C=CC(C)(CCC=C(C)C)OC(C)=O
Cc1ccc(C)cc1	3.15	-2.72	0.30	0.60			Cc1ccc(C)cc1
CCC(C(=O)OCc1ccc(C(C)(C)C)cc1)C(CO)Cc2cncn2C	3.97	-4.63	0.73	0.82			CCC(C(=O)OCc1ccc(C(C)(C)C)cc1)C(CO)Cc1cncn1C
COc1cc(c2ccc(N)c(OC)c2)ccc1N	2.02	-3.16	0.70	1.52			COc1cc(-c2ccc(N)c(OC)c2)ccc1N
Oc1ccc(O)c2ncccc12	1.16	-1.54	0.40	1.14			Oc1ccc(O)c2ncccc12
CCOP(=O)(Oc1ccc(N(=O)=O)cc1)C(C)(C)C	2.74	-2.86	0.47	2.39		logS	CCOP(=O)(Oc1ccc([N+](=O)[O-])cc1)C(C)(C)C
O=C1NC(=O)N(C2OC(CO)CC2F)CC1Cl	-0.41	-0.64	0.44	2.39		logS	O=c1[nH]c(=O)n(C2OC(CO)CC2F)cc1Cl
O=C(O)C1c2ccccc2c3ccccc13	2.75	-3.38	0.57	1.32			O=C(O)C1c2ccccc2-c2ccccc21
Clc1ccc(Cl)c(Cl)n1	2.80	-1.67	0.30	0.95			Clc1ccc(Cl)c(Cl)n1
CC(=O)N(c1ccc(N3CCOCC3)nn1)n2c(C)ccc2C	1.44	-2.14	0.88	2.39		logS	CC(=O)N(c1ccc(N2CCOCC2)nn1)n1c(C)ccc1C
CCCCCl	2.37	-2.09	0.39	0.79			CCCCCl
CNC(=O)c1ccsc1	0.75	-2.12	0.31	0.72			CNC(=O)c1ccsc1
CCCC1NNC(=N)O1	-0.51	-1.22	0.66	1.01			CCCc1n[nH]c(=N)o1
CCCCCCCCOc1cccc(NC(=O)OCCN2CCCCC2)c1	6.22	-5.07	0.30	1.46			CCCCCCCCOc1cccc(NC(=O)OCCN2CCCCC2)c1
Cc1ccnc2c(O)ccc(O)c12	1.35	-1.80	0.40	1.13			Cc1ccnc2c(O)ccc(O)c12
COc1ccccc1N2CCN(CCNC(=O)C3CCCCC3)CC2	2.99	-2.99	0.56	1.40			COc1ccccc1N1CCN(CCNC(=O)C2CCCCC2)CC1
CC(C)(C)N(NC(=O)c1cccc(F)c1)C(=O)c2ccccc2Cl	3.06	-5.33	0.31	0.87			CC(C)(C)N(NC(=O)c1cccc(F)c1)C(=O)c1ccccc1Cl
O=C1CCN(C2C=C(CO)C(O)C2O)C(=O)N1	-2.05	-0.51	0.41	1.16			O=c1ccn(C2C=C(CO)C(O)C2O)c(=O)[nH]1
COC(=O)C1OC(c2ccccc2)OC1C(=O)OC	1.68	-1.81	0.76	1.20			COC(=O)C1OC(c2ccccc2)OC1C(=O)OC
CC(=O)Nc1ccccc1N(=O)=O	1.26	-2.48	0.31	0.64			CC(=O)Nc1ccccc1[N+](=O)[O-]
CCCOC(=O)Nc1ccc(OCC)c(OCC)c1	2.99	-3.07	0.32	0.97			CCCOC(=O)Nc1ccc(OCC)c(OCC)c1
CCNc1ccc(C(=O)OCCN(C)C)cc1	2.60	-1.99	0.36	1.14			CCNc1ccc(C(=O)OCCN(C)C)cc1
CN(C)CCOC(=O)c1ccc(N(=O)=O)cc1	1.57	-2.40	0.49	1.25			CN(C)CCOC(=O)c1ccc([N+](=O)[O-])cc1
Fc1ccccc1F	2.24	-1.67	0.33	0.66			Fc1ccccc1F
O=C1CC(Oc2ccc(c3ccccc3)cc2)N1	2.86	-3.56	0.76	1.04			O=C1CC(Oc2ccc(-c3ccccc3)cc2)N1
O=S1(=O)N=C(Cc2ccccc2)Nc3ccccc13	2.13	-3.70	0.62	2.39		logS	O=S1(=O)N=C(Cc2ccccc2)Nc2ccccc21
CCC(C)NC(=O)C=C(Cl)c1ccccc1	2.91	-4.10	0.37	1.24			CCC(C)NC(=O)C=C(Cl)c1ccccc1
O=N(=O)CC1=NCCN1Cc2cnc(Cl)s2	1.58	-2.69	0.81	1.36			O=[N+]([O-])CC1=NCCN1Cc1cnc(Cl)s1
Cc1cccc2NCC(c3ccccc3)C(=O)n12	3.28	-2.78	0.79	1.01			Cc1cccc2ncc(-c3ccccc3)c(=O)n12
O=N(=O)c1cccnc1	0.47	-1.06	0.32	1.28			O=[N+]([O-])c1cccnc1
Oc1ccc(C(c2ccncc2)c3ccc(O)cc3)cc1	3.03	-3.70	0.30	1.18			Oc1ccc(C(c2ccncc2)c2ccc(O)cc2)cc1
COC(=O)CS(=O)(=O)c1ccc(N(=O)=O)cc1Cl	1.52	-4.15	0.40	1.18			COC(=O)CS(=O)(=O)c1ccc([N+](=O)[O-])cc1Cl
Cc1ccc2c(N(=O)=O)cccc2n1	2.12	-2.58	0.31	1.34			Cc1ccc2c([N+](=O)[O-])cccc2n1
CCN(CC)C(=O)n1cnc(S(=O)(=O)c2c(C)cc(C)cc2C)n1	1.89	-3.15	0.73	0.82			CCN(CC)C(=O)n1cnc(S(=O)(=O)c2c(C)cc(C)cc2C)n1
CC(=O)Oc1ccc(C(N)=O)cc1	0.18	-2.34	0.48	0.94			CC(=O)Oc1ccc(C(N)=O)cc1
Clc1ccc(Oc2c(Cl)cccc2Cl)cc1Cl	5.97	-6.39	0.30	1.11			Clc1ccc(Oc2c(Cl)cccc2Cl)cc1Cl
COC(=O)C1(S(=O)(=O)c2ccccc2)CCCC1	1.91	-2.98	0.33	1.59			COC(=O)C1(S(=O)(=O)c2ccccc2)CCCC1
C=CCOc1ccccc1OCC(CNC(C)C)OC(=O)C2CC2	3.46	-4.01	0.42	1.76			C=CCOc1ccccc1OCC(CNC(C)C)OC(=O)C1CC1
COc1ccccc1N2CCN(CCN=C(N)C3CCCCC3)CC2	3.56	-3.49	0.52	1.20			COc1ccccc1N1CCN(CCN=C(N)C2CCCCC2)CC1
CCCC(O)CCC	2.26	-1.26	0.31	0.61			CCCC(O)CCC
O=C(OCCO)c1ccccc1	1.12	-1.38	0.58	0.79			O=C(OCCO)c1ccccc1
O=C1NC(=S)NC(=O)C1C(=O)Nc2ccccc2	1.11	-3.50	0.64	0.99			O=C1NC(=S)NC(=O)C1C(=O)Nc1ccccc1
CS(=O)(=O)CCC(N)C(=O)O	-3.17	-0.62	0.50	1.66			CS(=O)(=O)CCC(N)C(=O)O
CC(=O)C(N)C(O)NC(C(=O)O)C(C)C	-2.34	-0.38	0.52	1.22			CC(=O)C(N)C(O)NC(C(=O)O)C(C)C
N#Cc1cc(c2ccncc2)cnc1Cl	2.41	-3.69	0.42	0.89			N#Cc1cc(-c2ccncc2)cnc1Cl
CCOC(=O)OCC	0.86	-0.42	0.72	0.84			CCOC(=O)OCC
O=N(=O)c1cn[nH]c1	0.07	-0.57	0.33	1.29			O=[N+]([O-])c1cn[nH]c1
CCOC(=O)C1SC(=NCCN=C2NC(C)C(C(=O)OCC)S2)NC1C	2.19	-2.86	0.75	1.51			CCOC(=O)c1sc(=NCCN=c2[nH]c(C)c(C(=O)OCC)s2)[nH]c1C
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1	2.01	-1.91	0.66	1.04			CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1
COc1ccccc1C(=O)N(NC(=O)c2ccccc2)C(C)(C)C	2.49	-4.35	0.31	1.01			COc1ccccc1C(=O)N(NC(=O)c1ccccc1)C(C)(C)C
NCCCCNC(=O)c1ccccc1	0.71	-2.44	0.35	1.11			NCCCCNC(=O)c1ccccc1
NNC(=O)c1ccc(Cl)cc1	0.75	-1.69	0.31	0.92			NNC(=O)c1ccc(Cl)cc1
CNC(=O)Oc1ccc(SC)c(C)c1	2.06	-2.40	0.36	0.83			CNC(=O)Oc1ccc(SC)c(C)c1
Cn1ncc(Cl)c1c2nc(C3NONC3=N)no2	-0.20	-2.79	0.73	2.39		logS	Cn1ncc(Cl)c1-c1nc(-c2no[nH]c2=N)no1
CC(C)(C)NCC(O)COCc1ccccc1	2.10	-2.50	0.38	1.37			CC(C)(C)NCC(O)COCc1ccccc1
COc1ccccc1C(=O)NCCN	-0.00	-1.86	0.40	0.73			COc1ccccc1C(=O)NCCN
CC1(C)OC2CC3C4CC(F)=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1	2.39	-4.03	0.45	0.93			CC1(C)OC2CC3C4CC(F)=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1
CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1	0.27	-2.77	0.41	1.42			CC1=C(C(=O)O)N2C(=O)C(NC(=O)C(O)c3ccccc3)C2SC1
CC12CC3CC(C)(C1)CC(N)(C3)C2	3.31	-3.60	0.51	2.39		logS	CC12CC3CC(C)(C1)CC(N)(C3)C2
O=C(Cc1ccccc1)NCCNCC(O)COCCCc2ccccc2	1.75	-4.69	0.33	0.97			O=C(Cc1ccccc1)NCCNCC(O)COCCCc1ccccc1
CCCCN(CCCC)CC(=O)NC1COc2ccc(Cl)cc12	4.72	-3.95	0.43	1.03			CCCCN(CCCC)CC(=O)NC1COc2ccc(Cl)cc21
ON=Cc1ccncc1	0.12	-1.40	0.72	1.42			ON=Cc1ccncc1
Brc1cc2ccccc2nn1	1.83	-2.43	0.44	1.08			Brc1cc2ccccc2nn1
Nc1ccc(S(=O)(=O)N=C2NCCCC2Cl)cc1	1.34	-3.17	0.73	2.39		logS	Nc1ccc(S(=O)(=O)N=c2[nH]cccc2Cl)cc1
CN=NNc1ccc(C(N)=O)cc1	1.32	-2.16	0.59	2.39		logS	CN=NNc1ccc(C(N)=O)cc1
OCCc1ccncc1	0.23	0.22	0.31	0.66			OCCc1ccncc1
CCCOc1cc(N)ccc1C(=O)O	1.53	-2.13	0.34	1.07			CCCOc1cc(N)ccc1C(=O)O
COC(=O)c1ccccc1O	2.07	-1.42	0.31	0.68			COC(=O)c1ccccc1O
COc1cc2CCC(=NC(C)=O)C3C(c2c(OC)c1OC)CCC(=O)C(O)C3	1.76	-3.79	0.73	1.16			COc1cc2ccc(=NC(C)=O)c3c(c2c(OC)c1OC)CCC(=O)C(O)C3
CCC1CCCCN1C(=O)COC(=O)c2ccccc2	2.80	-2.85	0.44	1.46			CCC1CCCCN1C(=O)COC(=O)c1ccccc1
COCc1c[nH]c(c2ccc(OCC(O)CNCCc3ccc(OC)c(OC)c3)cc2)n1	2.00	-4.11	0.34	1.40			COCc1c[nH]c(-c2ccc(OCC(O)CNCCc3ccc(OC)c(OC)c3)cc2)n1
CCC(C(=O)OCc1ccccc1)C(COC(=O)c2cccc(Cl)c2)Cc3cncn3C	4.92	-5.73	0.31	0.70			CCC(C(=O)OCc1ccccc1)C(COC(=O)c1cccc(Cl)c1)Cc1cncn1C
O=C1CCCC1	0.45	-0.11	0.45	0.80			O=C1CCCC1
Cc1cccc(N(N=C=N[NH4])(Cl)=O)c1	0.69	-3.67	1.20	2.39	logP	logS	Cc1cccc([N+](=O)N=C=[N-])c1
COC1CCC3C(C1)=C(c2ccccc2)NCC(=O)N=3	1.70	-3.40	0.61	1.48			COc1ccc2c(c1)=C(c1ccccc1)NCC(=O)N=2
C1=Cc2cccc3cccc1c23	3.90	-5.01	0.52	1.59			C1=Cc2cccc3cccc1c23
COc1ccc(OC2OC(CO)C(O)C(O)C2O)cc1	-0.52	-1.08	0.30	0.70			COc1ccc(OC2OC(CO)C(O)C(O)C2O)cc1
Cc1cc(Br)ccc1NC(=O)CSC2NNC(=N)S2	1.11	-3.51	0.76	2.11			Cc1cc(Br)ccc1NC(=O)CSc1n[nH]c(=N)s1
CC(C)CC(N)C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)O	-0.76	-2.04	0.64	1.61			CC(C)CC(N)C(=O)N1CCCC1C(=O)NC(CC(C)C)C(=O)O
CCOC(=O)C=NC(=O)C=N=N	0.09	-2.36	1.20	2.39	logP	logS	CCOC(=O)C=NC(=O)C=[NH+][NH-]
c1ccc(c2cccc(c3ccccc3)n2)cc1	4.68	-4.48	0.49	1.35			c1ccc(-c2cccc(-c3ccccc3)n2)cc1
CC(C)(C)C(COc1ccc(C#N)cc1)OC(=O)n2ccnc2	3.25	-3.67	0.80	1.19			CC(C)(C)C(COc1ccc(C#N)cc1)OC(=O)n1ccnc1
N=C1NC(c2cc(F)ccc2Br)NC(=N)N1	0.44	-3.58	0.69	1.17			N=c1nc(-c2cc(F)ccc2Br)[nH]c(=N)[nH]1
Cc1nonc1Sc2ccccc2	2.74	-2.71	0.76	0.99			Cc1nonc1Sc1ccccc1
CSCCNCc1cc2cc(S(N)(=O)=O)sc2s1	1.68	-3.62	0.70	1.15			CSCCNCc1cc2cc(S(N)(=O)=O)sc2s1
O=C1Nc2c(O)ccc(CCNCCNS(=O)(=O)CCCOCCc3ccccc3)c2S1	1.96	-4.57	0.66	1.15			O=c1[nH]c2c(O)ccc(CCNCCNS(=O)(=O)CCCOCCc3ccccc3)c2s1
CCCCCC(C)N=C1NC(Cl)NC(=NCC)N1	2.88	-2.96	0.57	1.19			CCCCCC(C)N=c1[nH]c(Cl)nc(=NCC)[nH]1
c1ccc(c2cc3ccccn3c2)cc1	4.41	-4.62	0.36	2.39		logS	c1ccc(-c2cc3ccccn3c2)cc1
Cc1cscn1	1.29	-1.47	0.57	0.75			Cc1cscn1
CSc1ccc(S(=O)(=O)N(CC(=O)NCC2CCCO2)c3ccc(C)cc3)cc1	2.97	-4.79	0.68	1.59			CSc1ccc(S(=O)(=O)N(CC(=O)NCC2CCCO2)c2ccc(C)cc2)cc1
CCCCN(CC)N=O	1.58	-0.98	0.31	0.70			CCCCN(CC)N=O
CC1CN(C)CC(O)(c2ccccc2)O1	1.58	-0.66	0.33	1.37			CC1CN(C)CC(O)(c2ccccc2)O1
O=P(N1CC1)(N2CC2)N(N=Cc3ccc(F)cc3)c4ccccc4	0.53	-3.12	0.34	1.76			O=P(N1CC1)(N1CC1)N(N=Cc1ccc(F)cc1)c1ccccc1
CCN(CC)C(C)C(=O)Nc1c(C)cccc1C	2.30	-2.63	0.32	0.63			CCN(CC)C(C)C(=O)Nc1c(C)cccc1C
COCCn1cnc2C(=N)N(C)C(=O)Nc12	-1.25	-1.75	0.30	1.22			COCCn1cnc2c(=N)n(C)c(=O)[nH]c21
CC1CNc2ccccn2C1=O	1.88	-1.78	0.79	0.76			Cc1cnc2ccccn2c1=O
O=C(NO)Nc1ccc(Cl)cc1	0.81	-2.43	0.44	0.94			O=C(NO)Nc1ccc(Cl)cc1
CC1=NS(=O)(=O)c2ccccc2N1	0.42	-2.09	0.60	2.39		logS	CC1=NS(=O)(=O)c2ccccc2N1
